Table,API_Name,Snake_Name,Web_Name,Label,note
SubActivity,Admin2Id,admin2id,Admin 2 Id,Admin 2 ID.,
SubActivity,District,district,,District.,
SubActivity,Admin0Guid,adm0_guid,Admin 0 Guid,Admin 0 guid.,
SubActivity,Admin1Guid,adm1_guid,Admin 1 Guid,Admin 1 guid.,
SubActivity,Admin2Guid,adm2_guid,Admin 2 Guid,Admin 2 guid.,
SubActivity,AdditionalIntervention,additional_intervention,Additional Interventions,Additional intervention.,
SubActivity,AreaTargetPercent,area_target_percent,Area Targeted %,Area target percent.,
SubActivity,CountryPopulation,country_population,UNPD Country Population,Country population.,
SubActivity,AreaPopulation,area_population,Area Population,Area population.,
SubActivity,AgeGroupPercent,age_group_percent,Age Group %,Age group percent.,
SubActivity,ChildrenImmunized,children_immunized,Immunized Population,Children immunized.,
SubActivity,VaccineModifier,vaccine_modifier,,Vaccine modifier.,
SubActivity,WastageFactor,wastage_factor,Wastage Factor,Wastage factor.,
SubActivity,CalculatedTargetPopulation,calculated_target_population,Targeted Population,Calculated target population.,
SubActivity,ActivityAdminCoveragePercentage,activity_admin_coverage_percentage,,Activity admin coverage percentage.,
SubActivity,CalculatedDosages,calculated_dosages,Number of Doses,Calculated dosages.,
SubActivity,UpdatedDate,updated_date,Sub-Activity Last Updated Date,Updated date.,
SubActivity,UpdatedBy,updated_by,,Updated by.,
SubActivity,IsGeoplaceUnspecified,is_geoplace_unspecified,,Is geoplace unspecified.,
SubActivity,Admin2TargetPopulation,admin2target_population,Admin 2 Targeted Population,Admin 2 target population.,
SubActivity,Admin2ChildrenImmunized,admin2children_immunized,Admin 2 Immunized Population,Admin 2 children immunized.,
SubActivity,Admin2SecurityStatus,admin2security_status,Admin 2 Accessibility Status,Admin 2 security status.,
SubActivity,Admin2Comments,admin2comments,Admin 2 Comments,Admin 2 comments.,
SubActivity,PhaseName,phase_name,Phase,Phase name.,
SubActivity,DelayReason,delay_reason,Delay Reason,Delay reason.,
SubActivity,Admin2ChildrenInaccessible,admin2children_inaccessible,Admin2 children inaccessible,Admin 2 children inaccessible.,
SubActivity,ActivityAdminCoveragePercentage,activity_admin_coverage_percentage,Admin Coverage %,Activity admin coverage percentage.,
SubActivity,ActivityParentCode,activity_parent_code,SIA Code,Activity parent code.,
SubActivity,SIASubActivityCode,sia_sub_activity_code,SIA Sub-Activity Code,SIA sub activity code.,
SubActivity,ActivityParentLinkedOutbreaksList,activity_parent_linked_outbreaks_list,Linked Outbreak(s),Activity parent linked outbreaks list.,
SubActivity,ActivityChildApprovedDosages,activity_child_approved_dosages,Number of Doses Approved,Activity child approved dosages.,
SubActivity,,activity_comments,Activity Comments,Activity comments.,
Virus,Admin0ShapeId,admin0shape_id,Admin 0 ShapeId,Country (admin level 0) — shape ID.,
Virus,Admin1ShapeId,admin1shape_id,Admin 1 ShapeId,Province/state (admin level 1) — shape ID.,
Virus,Admin2ShapeId,admin2shape_id,Admin 2 ShapeId,District (admin level 2) — shape ID.,
Virus,FinalCellCultureResult,final_cell_culture_result,NumberDaysIM,Final cell culture result.,
Virus,HasEmergenceGroupOrClusterName,has_emergence_group_or_cluster_name,HasEmergenceGroupOrClusterName,Whether emergence group or cluster name (yes/no).,
Virus,IsBreakthrough,is_breakthrough,IsBreakthrough,Whether breakthrough (yes/no).,
Virus,Location,location,Location,Location.,
Virus,nOPVCategoryCode,n_opv_category_code,nOPV Category Code,N oral polio vaccine category code.,
Virus,nOPVCategoryId,n_opv_category_id,nOPV Category Id,Internal identifier for n oral polio vaccine category.,
Virus,nOPVCategoryName,n_opv_category_name,nOPV Category Name,Name of n oral polio vaccine category.,
Virus,NtChanges,nt_changes,NtChanges,Nucleotide changes.,
Virus,ReportingWeekAndYear,reporting_week_and_year,AFP Reporting Week and Year,Reporting week and year.,
Virus,VaccineOrigin,vaccine_origin,VaccineOrigin,Sabin vaccine poliovirus origin.,
Virus,VirusDisplaySequence,virus_display_sequence,VirusDisplaySequence,Virus display sequence.,
Virus,VirusId,virus_id,VirusId,Internal identifier for virus.,
Virus,VirusRenderer,virus_renderer,VirusRenderer,Virus renderer.,
Virus,AdvancedNotification,advanced_notification,Advanced Notification,Advanced notification.,
Virus,SurveillanceTypeId,surveillance_type_id,,Surveillance type ID.,
Virus,EPID,epid,EPID,EPID.,
Virus,ReportingYear,reporting_year,,Reporting year.,
Virus,EnviroSampleManualEditId,enviro_sample_manual_edit_id,Env Sample ID,Enviro sample manual edit ID.,
Virus,Id,id,Virus ID,ID.,
Virus,WHORegion,who_region,WHO Region,WHO region.,
Virus,RegionId,region_id,,Region ID.,
Virus,Admin0OfficialName,admin0official_name,,Admin 0 official name.,
Virus,CountryISO3Code,country_iso3code,Country Iso3,Country ISO 3 code.,
Virus,SubRegionId,sub_region_id,,Sub region ID.,
Virus,Admin0Name,adm0,Place Admin 0,Admin 0 name.,
Virus,Admin0WhoCode,admin0who_code,,Admin 0 WHO code.,
Virus,Admin0GUID,adm0_guid,Admin 0 Guid,Admin 0 guid.,
Virus,Admin0Id,admin0id,,Admin 0 ID.,
Virus,Admin1GUID,adm1_guid,Admin 1 Guid,Admin 1 guid.,
Virus,Admin1Id,admin1id,,Admin 1 ID.,
Virus,Admin1Iso2Code,admin1iso2code,,Admin 1 ISO 2 code.,
Virus,Admin1Iso3Code,admin1iso3code,,Admin 1 ISO 3 code.,
Virus,Admin1Name,adm1,Place Admin 1,Admin 1 name.,
Virus,Admin1OfficialName,admin1official_name,,Admin 1 official name.,
Virus,Admin1WhoCode,admin1who_code,,Admin 1 WHO code.,
Virus,Admin2GUID,adm2_guid,Admin 2 Guid,Admin 2 guid.,
Virus,Admin2Id,admin2id,,Admin 2 ID.,
Virus,Admin2Name,adm2,Place Admin 2,Admin 2 name.,
Virus,Admin2OfficialName,admin2official_name,,Admin 2 official name.,
Virus,CaseManualEditId,case_manual_edit_id,PolIS Case ID,Case manual edit ID.,
Virus,CreatedBy,created_by,,Created by.,
Virus,CreatedDate,created_date,,Created date.,
Virus,EnvSiteCode,env_site_code,Site Code,Env site code.,
Virus,EnvSiteId,env_site_id,,Env site ID.,
Virus,EnvSiteName,env_site_name,Site Name,Env site name.,
Virus,ExactLatitude,exact_latitude,Exact Latitude,Exact latitude.,
Virus,ExactLongitude,exact_longitude,Exact Longitude,Exact longitude.,
Virus,HomologyVirus1EPID,homology_virus1epid,,Homology virus 1 EPID.,
Virus,HomologyVirus1Id,homology_virus1id,,Homology virus 1 ID.,
Virus,HomologyVirus2EPID,homology_virus2epid,,Homology virus 2 EPID.,
Virus,HomologyVirus2Id,homology_virus2id,,Homology virus 2 ID.,
Virus,HomologyVirus3EPID,homology_virus3epid,,Homology virus 3 EPID.,
Virus,HomologyVirus3Id,homology_virus3id,,Homology virus 3 ID.,
Virus,HomologyVirus4EPID,homology_virus4epid,,Homology virus 4 EPID.,
Virus,HomologyVirus4Id,homology_virus4id,,Homology virus 4 ID.,
Virus,HomologyVirus5EPID,homology_virus5epid,,Homology virus 5 EPID.,
Virus,HomologyVirus5Id,homology_virus5id,,Homology virus 5 ID.,
Virus,ISTName,ist_name,IST,Ist name.,
Virus,LabNationalName,lab_national_name,Lab National Name,Lab national name.,
Virus,LabRegionalName,lab_regional_name,Lab Regional Name,Lab regional name.,
Virus,Latitude,latitude,Y,Latitude.,
Virus,Longitude,longitude,X,Longitude.,
Virus,PercentHomology1,percent_homology1,,Percent homology 1.,
Virus,PercentHomology2,percent_homology2,,Percent homology 2.,
Virus,PercentHomology3,percent_homology3,,Percent homology 3.,
Virus,PercentHomology4,percent_homology4,,Percent homology 4.,
Virus,PercentHomology5,percent_homology5,,Percent homology 5.,
Virus,PoNS_AdministrationType,pons_administration_type,PoNS Administration Type,PoNS administration type.,
Virus,PoNS_ClosestMatch,pons_closest_match,PoNS Closest Match,PoNS closest match.,
Virus,PoNS_ClosestMatchDash,pons_closest_match_dash,PoNS Closest Match Dash,PoNS closest match dash.,
Virus,PoNS_Comments,pons_comments,PoNS Comments,PoNS comments.,
Virus,PoNS_Country,pons_country,PoNS Country,PoNS country.,
Virus,PoNS_DashId,pons_dash_id,PoNS Dash Id,PoNS dash ID.,
Virus,PoNS_Environment,pons_environment,PoNS Environment,PoNS environment.,
Virus,PoNS_EpiNum,pons_epi_num,PoNS Epid,PoNS EPID number.,
Virus,PoNS_EpiNumPolis,pons_epi_num_polis,Epid in Polis,PoNS EPID number in POLIS.,
Virus,PoNS_EpiNumTransformed,pons_epi_num_transformed,PoNS Epid formated,PoNS EPID number (formatted).,
Virus,PoNS_Expr1005,pons_expr1005,PoNS Expr 1005,PoNS expr 1005.,
Virus,PoNS_FileName,pons_file_name,PoNS FileName,PoNS file name.,
Virus,PoNS_Genotype,pons_genotype,PoNS Genotype,PoNS genotype.,
Virus,PoNS_Genotype2,pons_genotype2,PoNS Genotype2,PoNS genotype 2.,
Virus,PoNS_Id,pons_id,PoNS Id,PoNS ID.,
Virus,PoNS_ISO3,pons_iso3,PoNS ISO3,PoNS ISO 3.,
Virus,PoNS_Latitude,pons_latitude,PoNS Latitude,PoNS latitude.,
Virus,PoNS_Locality,pons_locality,PoNS Locality,PoNS locality.,
Virus,PoNS_Longitude,pons_longitude,PoNS Longitude,PoNS longitude.,
Virus,PoNS_MapDistEdit,pons_map_dist_edit,PoNS Map Dist Edit,PoNS map distance edit.,
Virus,PoNS_MatchingQuality,pons_matching_quality,PoNS Matching Quality,PoNS matching quality.,
Virus,PoNS_Mismatches,pons_mismatches,PoNS Mismatches,PoNS mismatches.,
Virus,PoNS_NTChanges,pons_nt_changes,PoNS NT Changes,PoNS NT changes.,
Virus,PoNS_OnSetDate,pons_on_set_date,PoNS OnSet Date,PoNS onset date.,
Virus,PoNS_Passage,pons_passage,PoNS Passage,PoNS passage.,
Virus,PoNS_Patient,pons_patient,PoNS Patient,PoNS patient.,
Virus,PoNS_ReceiptDate,pons_receipt_date,PoNS Receipt Date,PoNS receipt date.,
Virus,PoNS_Reference,pons_reference,PoNS Reference,PoNS reference.,
Virus,PoNS_ReferenceName,pons_reference_name,PoNS Reference Name,PoNS reference name.,
Virus,PoNS_RefLabId,pons_ref_lab_id,PoNS Ref Lab Id,PoNS ref lab ID.,
Virus,PoNS_Region,pons_region,PoNS Region,PoNS region.,
Virus,PoNS_SeqBy,pons_seq_by,PoNS Seq By,PoNS seq by.,
Virus,PoNS_SeqDate,pons_seq_date,PoNS Seq Date,PoNS seq date.,
Virus,PoNS_SeqRegion,pons_seq_region,PoNS Seq Region,PoNS seq region.,
Virus,PoNS_Serotype,pons_serotype,PoNS Serotype,PoNS serotype.,
Virus,PoNS_Serotype2,pons_serotype2,PoNS Serotype2,PoNS serotype 2.,
Virus,PoNS_Source,pons_source,PoNS Source,PoNS source.,
Virus,PoNS_SpecDate,pons_spec_date,PoNS Spec Date,PoNS spec date.,
Virus,PoNS_SpecType,pons_spec_type,PoNS Spec Type,PoNS spec type.,
Virus,PoNS_StateProv,pons_state_prov,PoNS State Province,PoNS state/province.,
Virus,PoNS_WHOCountryCode,pons_who_country_code,PoNS WHO Country Code,PoNS WHO country code.,
Virus,PoNS_WildClusterName,pons_wild_cluster_name,PoNS Wild Cluster Name,PoNS wild cluster name.,
Virus,PublishDate,publish_date,,Publish date.,
Virus,RegionGUID,region_guid,,Region guid.,
Virus,RegionName,region_name,,Region name.,
Virus,RegionOfficialName,region_official_name,,Region official name.,
Virus,RegionWhoCode,region_who_code,,Region WHO code.,
Virus,ReportingWeek,reporting_week,Reporting Week,Reporting week.,
Virus,SubRegionGUID,sub_region_guid,,Sub region guid.,
Virus,SubRegionName,sub_region_name,,Sub region name.,
Virus,SubRegionOfficialName,sub_region_official_name,,Sub region official name.,
Virus,SubRegionWhoCode,sub_region_who_code,,Sub region WHO code.,
Virus,SurveillanceTypeName,surveillance_type_name,Surveillance Type,Surveillance type name.,
Virus,UpdatedBy,updated_by,,Updated by.,
Virus,UpdatedDate,updated_date,,Updated date.,
Virus,VaccineNtChangesFromSabin,vaccine_nt_changes_from_sabin,,Vaccine NT changes from Sabin.,
Virus,VdpvClassificationChangeApprovedBy,vdpv_classification_change_approved_by,,VDPV classification change approved by.,
Virus,VdpvClassificationChangeDate,vdpv_classification_change_date,,VDPV classification change date.,
Virus,VdpvClassificationCode,vdpv_classification_code,,VDPV classification code.,
Virus,VdpvClassificationId,vdpv_classification_id,,VDPV classification ID.,
Virus,VdpvClassificationName,vdpv_classification_name,VDPV Classification(s),VDPV classification name.,
Virus,VdpvComments,vdpv_comments,,VDPV comments.,
Virus,VdpvDocument,vdpv_document,,VDPV document.,
Virus,VdpvEmergenceGroupCode,vdpv_emergence_group_code,,VDPV emergence group code.,
Virus,VdpvEmergenceGroupId,vdpv_emergence_group_id,,VDPV emergence group ID.,
Virus,VdpvEmergenceGroupName,vdpv_emergence_group_name,Emergence Group(s),VDPV emergence group name.,
Virus,VdpvNtChangesClosestMatch,vdpv_nt_changes_closest_match,,VDPV NT changes closest match.,
Virus,VdpvNtChangesFromSabin,vdpv_nt_changes_from_sabin,Nt Changes,VDPV NT changes from Sabin.,
Virus,VdpvReportedBy,vdpv_reported_by,,VDPV reported by.,
Virus,VdpvReportedToHQDate,vdpv_reported_to_hq_date,,VDPV reported to HQ date.,
Virus,VdpvSourceCode,vdpv_source_code,,VDPV source code.,
Virus,VdpvSourceId,vdpv_source_id,,VDPV source ID.,
Virus,VdpvSourceName,vdpv_source_name,,VDPV source name.,
Virus,VirusDate,virus_date,Virus Date,Virus date.,
Virus,VirusTypeCode,virus_type_code,Virus Type(s),Virus type code.,
Virus,VirusTypeId,virus_type_id,,Virus type ID.,
Virus,VirusTypeName,virus_type_name,,Virus type name.,
Virus,WildClusterCode,wild_cluster_code,,Wild cluster code.,
Virus,WildClusterId,wild_cluster_id,,Wild cluster ID.,
Virus,WildClusterName,wild_cluster_name,Virus Cluster(s),Wild cluster name.,
Virus,WildGenotypeCode,wild_genotype_code,,Wild genotype code.,
Virus,WildGenotypeId,wild_genotype_id,,Wild genotype ID.,
Virus,WildGenotypeName,wild_genotype_name,,Wild genotype name.,
Virus,WildImportationEventCode,wild_importation_event_code,,Wild importation event code.,
Virus,WildImportationEventId,wild_importation_event_id,,Wild importation event ID.,
Virus,WildImportationEventName,wild_importation_event_name,,Wild importation event name.,
Virus,,location,location,Location.,
Case,,year_onset,,Year of onset,derived from paralysis_onset_date (falls back to stool1collection_date then notification_date)
Case,,month_onset,,Month of onset,derived from paralysis_onset_date
Case,,age_months,,Age in months,derived (numeric) from calculated_age_in_month then person_age_in_months
Case,,onset_to_notify,,Days from onset to notification,derived: notification_date - paralysis_onset_date
Case,,onset_to_invest,,Days from onset to investigation,derived: investigation_date - paralysis_onset_date
Case,,onset_to_stool1,,Days from onset to stool 1 collection,derived: stool1collection_date - paralysis_onset_date
Case,,onset_to_stool2,,Days from onset to stool 2 collection,derived: stool2collection_date - paralysis_onset_date
Case,,notify_to_invest,,Days from notification to investigation,derived: investigation_date - notification_date
Case,,invest_to_stool1,,Days from investigation to stool 1 collection,derived: stool1collection_date - investigation_date
Case,,stool1_to_stool2,,Days between stool 1 and stool 2 collection,derived: stool2collection_date - stool1collection_date
Case,,onset_to_followup,,Days from onset to follow-up,derived: followup_date - paralysis_onset_date
Case,,stool1_missing,,Stool 1 specimen missing,derived: TRUE when stool1collection_date and stool1condition both absent
Case,,stool2_missing,,Stool 2 specimen missing,derived: TRUE when stool2collection_date and stool2condition both absent
Case,,stool_missing,,Both stool specimens missing,derived: stool1_missing and stool2_missing
Case,,vtype,,Decoded poliovirus type,"derived from polio_virus_types + vdpv_classifications; WPV nomenclature, c/a/i VDPV prefix"
Case,,vtype_fixed,,Decoded poliovirus type (corrected),vtype with historical country corrections applied
Case,,classification_all,,Fused analytic classification,"virus type (WPV/cVDPV/aVDPV/iVDPV) for positives else recoded classification (NPAFP/COMPATIBLE/NOT-AFP/PENDING/LAB PENDING/VAPP/UNKNOWN)"
Case,,sabin1,,Sabin type 1 detected,derived: polio_virus_types contains VACCINE1
Case,,sabin2,,Sabin type 2 detected,derived: polio_virus_types contains VACCINE2
Case,,sabin3,,Sabin type 3 detected,derived: polio_virus_types contains VACCINE3
Case,,hot_case,,Hot case flag (recomputed),derived: paralysis asymmetric + onset fever + rapid progress all Yes
Case,,onset_date_quality,,Onset date coherence,derived (Good/Missing onset/Onset after notification/Onset after investigation)
Case,,timeliness,,Stool collection timeliness,derived (Timely/Not Timely/Unable to Assess) from onset coherence and stool intervals
Case,,needs_60day_followup,,Needs 60-day follow-up,derived: TRUE when stool collection not timely
Case,,got_60day_followup,,Received 60-day follow-up,derived: a follow-up visit exists when one was needed
Case,,followup_on_time,,60-day follow-up on time,derived: follow-up 60-90 days after onset when needed
Case,,country_actual,,Standardised country name,"enrich_afp(): from country_lookup (countrycode UN name), falls back to title-cased adm0"
Case,,risk_group,,Polio risk tier,enrich_afp(): from country_lookup (Endemic/Very High/High/Medium Risk)
Case,,epi_zones,,Epidemiological zone,enrich_afp(): from country_lookup (Lake Chad Basin/Western Africa/Horn of Africa/Southern Africa/Central-Equatorial Africa/Islands/Other)
Case,,epi_zones_v2,,Epidemiological zone (Sahel variant),enrich_afp(): epi_zones with the Lake Chad Basin & Sahel grouping
Case,,polio_type,,Poliovirus serotype,enrich_afp(): Type 1/2/3 read from the classification serotype
Case,,afp_class,,AFP surveillance category,enrich_afp(): AFP-Positive/Non-polio AFP/Not an AFP/VAPP/Others
Case,,afp,,AFP-positive flag,enrich_afp(): 1 when afp_class is AFP-Positive
Case,,npafp,,Non-polio AFP flag,enrich_afp(): 1 when Discarded/Pending and not a circulating VDPV 1/2
Case,,pending_results,,Pending lab results flag,enrich_afp(): TRUE when classification is Pending
EnvSample,,year_collection,,Year of collection,derived from collection_date
EnvSample,,month_collection,,Month of collection,derived from collection_date
SubActivity,,year_start,,Year of campaign start,derived from date_from
SubActivity,,month_start,,Month of campaign start,derived from date_from
Virus,,year_onset,,Year of onset,derived from virus_date
Virus,,month_onset,,Month of onset,derived from virus_date
Virus,,surveillance_type,,Surveillance type,derived from case/ES linkage (human/environmental)
